trial,elapsed_s,imgsz,track_high_thresh,track_low_thresh,new_track_thresh,conf_threshold,conf_threshold,relink_iou_thresh,relink_dist_thresh,gmm_max_lost,gmm_search_pad,gmm_min_blob_area,iou_match_threshold,fps_multiply,lost_frames_before_gmm,gmm_history,gmm_var_threshold,bg_subtractor,edge_margin,edge_search_pad,edge_kill_margin,match_thresh,fuse_score,gt1_HOTA,gt1_MOTA,gt1_MOTP,gt1_IDF1,gt1_MT,gt1_ML,gt1_GT_tracks,gt1_TP,gt1_FP,gt1_FN,gt1_IDS,gt1_Frag,gt1_GT_dets,gt2_HOTA,gt2_MOTA,gt2_MOTP,gt2_IDF1,gt2_MT,gt2_ML,gt2_GT_tracks,gt2_TP,gt2_FP,gt2_FN,gt2_IDS,gt2_Frag,gt2_GT_dets,gt3_HOTA,gt3_MOTA,gt3_MOTP,gt3_IDF1,gt3_MT,gt3_ML,gt3_GT_tracks,gt3_TP,gt3_FP,gt3_FN,gt3_IDS,gt3_Frag,gt3_GT_dets,gt1_vec_angle_diff,gt1_vec_conf_gt,gt1_vec_conf_pred,gt1_vec_n_gt,gt1_vec_n_pred,gt2_vec_angle_diff,gt2_vec_conf_gt,gt2_vec_conf_pred,gt2_vec_n_gt,gt2_vec_n_pred,gt3_vec_angle_diff,gt3_vec_conf_gt,gt3_vec_conf_pred,gt3_vec_n_gt,gt3_vec_n_pred,avg_HOTA,avg_MOTA,avg_IDF1,avg_vec_angle_diff
142,168.3,1280,0.1,0.01,0.2,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,73.98,46.28,64.98,73.04,0,7,13,1605,584,601,0,82,2206,62.25,32.63,69.62,57.63,1,3,9,765,220,905,0,34,1670,76.61,43.99,73.43,74.78,1,1,6,1782,836,366,1,30,2148,10.88,1.0,1.0,1,1,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,70.95,40.97,68.48,34.24
147,168.4,1280,0.1,0.05,0.2,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,73.98,46.28,64.98,73.04,0,7,13,1605,584,601,0,82,2206,62.25,32.63,69.62,57.63,1,3,9,765,220,905,0,34,1670,76.61,43.99,73.43,74.78,1,1,6,1782,836,366,1,30,2148,10.88,1.0,1.0,1,1,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,70.95,40.97,68.48,34.24
141,169.2,1280,0.1,0.01,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,72.72,43.25,65.04,71.55,0,7,13,1574,620,632,0,84,2206,62.45,33.11,69.65,57.98,1,3,9,770,216,900,1,35,1670,76.56,43.9,73.44,74.74,1,1,6,1781,837,367,1,31,2148,10.88,1.0,1.0,1,1,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,70.58,40.09,68.09,34.24
146,169.3,1280,0.1,0.05,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,72.72,43.25,65.04,71.55,0,7,13,1574,620,632,0,84,2206,62.45,33.11,69.65,57.98,1,3,9,770,216,900,1,35,1670,76.56,43.9,73.44,74.74,1,1,6,1781,837,367,1,31,2148,10.88,1.0,1.0,1,1,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,70.58,40.09,68.09,34.24
143,167.8,1280,0.1,0.01,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,72.64,41.52,64.91,71.3,0,7,13,1600,682,606,2,78,2206,62.37,32.87,69.58,57.78,1,3,9,767,218,903,0,34,1670,76.69,44.27,73.47,74.83,1,1,6,1779,828,369,0,29,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,70.57,39.55,67.97,57.61
148,168.2,1280,0.1,0.05,0.3,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,72.64,41.52,64.91,71.3,0,7,13,1600,682,606,2,78,2206,62.37,32.87,69.58,57.78,1,3,9,767,218,903,0,34,1670,76.69,44.27,73.47,74.83,1,1,6,1779,828,369,0,29,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,70.57,39.55,67.97,57.61
144,167.8,1280,0.1,0.01,0.4,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,71.7,40.12,64.9,70.15,0,7,13,1550,663,656,2,77,2206,62.08,32.34,69.52,57.26,1,3,9,757,217,913,0,31,1670,76.69,44.27,73.48,74.83,1,1,6,1779,828,369,0,29,2148,7.06,1.0,1.0,1,1,,1.0,0.0,1,0,57.49,0.503,1.0,2,1,70.16,38.91,67.41,32.27
149,167.5,1280,0.1,0.05,0.4,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,71.7,40.12,64.9,70.15,0,7,13,1550,663,656,2,77,2206,62.08,32.34,69.52,57.26,1,3,9,757,217,913,0,31,1670,76.69,44.27,73.48,74.83,1,1,6,1779,828,369,0,29,2148,7.06,1.0,1.0,1,1,,1.0,0.0,1,0,57.49,0.503,1.0,2,1,70.16,38.91,67.41,32.27
151,167.3,1280,0.3,0.01,0.1,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,70.07,35.27,64.37,68.34,0,7,13,1539,759,667,2,86,2206,60.02,28.8,69.08,54.93,1,3,9,724,242,946,1,36,1670,76.69,44.27,73.47,74.83,1,1,6,1779,828,369,0,29,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,68.93,36.11,66.03,57.61
152,167.3,1280,0.3,0.01,0.2,0.05,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,30,0.8,True,70.07,35.27,64.37,68.34,0,7,13,1539,759,667,2,86,2206,60.02,28.8,69.08,54.93,1,3,9,724,242,946,1,36,1670,76.69,44.27,73.47,74.83,1,1,6,1779,828,369,0,29,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,57.61,0.503,1.0,2,1,68.93,36.11,66.03,57.61
