threshold,total_dets,correct,wrong,accuracy,error_rate
0.01,1001,842,159,84.12,15.88
0.059,945,833,112,88.15,11.85
0.109,932,831,101,89.16,10.84
0.158,921,826,95,89.69,10.31
0.208,918,824,94,89.76,10.24
0.257,906,818,88,90.29,9.71
0.307,893,814,79,91.15,8.85
0.356,872,803,69,92.09,7.91
0.406,858,795,63,92.66,7.34
0.455,831,786,45,94.58,5.42
0.505,806,772,34,95.78,4.22
0.554,772,751,21,97.28,2.72
0.604,734,721,13,98.23,1.77
0.653,675,669,6,99.11,0.89
0.703,585,585,0,100.0,0.0
0.752,349,349,0,100.0,0.0
0.802,84,84,0,100.0,0.0
0.851,25,25,0,100.0,0.0
0.901,0,0,0,0,0
0.95,0,0,0,0,0
