threshold,total_dets,correct,wrong,accuracy,error_rate
0.01,583,393,190,67.41,32.59
0.059,436,390,46,89.45,10.55
0.109,403,389,14,96.53,3.47
0.158,399,389,10,97.49,2.51
0.208,395,389,6,98.48,1.52
0.257,392,387,5,98.72,1.28
0.307,390,386,4,98.97,1.03
0.356,387,385,2,99.48,0.52
0.406,387,385,2,99.48,0.52
0.455,382,382,0,100.0,0.0
0.505,382,382,0,100.0,0.0
0.554,377,377,0,100.0,0.0
0.604,364,364,0,100.0,0.0
0.653,358,358,0,100.0,0.0
0.703,311,311,0,100.0,0.0
0.752,209,209,0,100.0,0.0
0.802,104,104,0,100.0,0.0
0.851,41,41,0,100.0,0.0
0.901,0,0,0,0,0
0.95,0,0,0,0,0
