trial,elapsed_s,relink_iou_thresh,relink_dist_thresh,iou_match_threshold,lost_frames_before_gmm,gmm_max_lost,gmm_search_pad,gmm_min_blob_area,gmm_max_lifetime,gmm_history,gmm_var_threshold,gmm_downscale,conf_threshold,imgsz,fps_multiply,bg_subtractor,edge_margin,edge_search_pad,edge_kill_margin,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,proximity_thresh,appearance_thresh,with_reid,gmc_method,fuse_score,gt1_HOTA,gt1_MOTA,gt1_MOTP,gt1_IDF1,gt1_MT,gt1_ML,gt1_GT_tracks,gt1_TP,gt1_FP,gt1_FN,gt1_IDS,gt1_Frag,gt1_GT_dets,gt2_HOTA,gt2_MOTA,gt2_MOTP,gt2_IDF1,gt2_MT,gt2_ML,gt2_GT_tracks,gt2_TP,gt2_FP,gt2_FN,gt2_IDS,gt2_Frag,gt2_GT_dets,gt3_HOTA,gt3_MOTA,gt3_MOTP,gt3_IDF1,gt3_MT,gt3_ML,gt3_GT_tracks,gt3_TP,gt3_FP,gt3_FN,gt3_IDS,gt3_Frag,gt3_GT_dets,gt1_vec_angle_diff,gt1_vec_conf_gt,gt1_vec_conf_pred,gt1_vec_n_gt,gt1_vec_n_pred,gt2_vec_angle_diff,gt2_vec_conf_gt,gt2_vec_conf_pred,gt2_vec_n_gt,gt2_vec_n_pred,gt3_vec_angle_diff,gt3_vec_conf_gt,gt3_vec_conf_pred,gt3_vec_n_gt,gt3_vec_n_pred,avg_HOTA,avg_MOTA,avg_IDF1,avg_vec_angle_diff
54,400.7,0.1,120.0,0.1,3,20,60,10,40,100,8.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,72.0,46.37,65.42,71.81,0,7,13,1504,479,702,2,119,2206,60.39,29.88,69.65,56.12,0,3,9,747,245,923,3,49,1670,75.76,41.67,73.59,73.79,1,2,6,1764,869,384,0,33,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,,0.503,0.0,2,0,69.38,39.31,67.24,
228,399.8,0.2,120.0,0.35,3,20,60,10,40,100,8.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,72.0,46.37,65.42,71.81,0,7,13,1504,479,702,2,119,2206,60.39,29.88,69.65,56.12,0,3,9,747,245,923,3,49,1670,75.75,41.62,73.59,73.78,1,2,6,1764,870,384,0,33,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,,0.503,0.0,2,0,69.38,39.29,67.24,
215,251.2,0.1,160.0,0.35,3,20,60,50,40,200,32.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,72.88,48.96,65.34,72.88,0,7,13,1513,433,693,0,120,2206,61.25,32.87,69.58,57.12,0,4,9,746,196,924,1,48,1670,83.99,67.88,73.61,83.63,1,2,6,1762,304,386,0,33,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,65.96,0.503,1.0,2,1,72.71,49.9,71.21,65.96
291,259.3,0.05,160.0,0.1,3,20,140,50,60,400,32.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,72.59,47.55,65.28,72.46,0,7,13,1522,473,684,0,119,2206,61.36,32.46,69.49,57.42,1,4,9,760,217,910,1,52,1670,82.82,64.66,73.57,82.37,1,2,6,1768,377,380,2,35,2148,11.02,1.0,1.0,1,1,119.52,1.0,1.0,1,1,,0.503,0.0,2,0,72.26,48.22,70.75,65.27
255,247.0,0.05,160.0,0.2,3,20,140,10,20,100,32.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,72.25,47.46,65.42,72.23,0,7,13,1506,458,700,1,124,2206,60.92,32.1,69.59,56.84,1,4,9,746,209,924,1,51,1670,82.89,64.8,73.56,82.42,1,2,6,1770,377,378,1,35,2148,11.02,1.0,1.0,1,1,119.52,1.0,1.0,1,1,,0.503,0.0,2,0,72.02,48.12,70.5,65.27
472,260.4,0.2,120.0,0.2,3,20,140,25,20,400,32.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,71.92,45.42,65.29,71.59,0,7,13,1516,513,690,1,117,2206,61.07,31.44,69.53,57.13,1,4,9,761,233,909,3,52,1670,82.8,64.62,73.57,82.35,1,2,6,1768,378,380,2,35,2148,11.02,1.0,1.0,1,1,119.52,1.0,1.0,1,1,,0.503,0.0,2,0,71.93,47.16,70.36,65.27
434,251.8,0.2,160.0,0.35,3,20,140,50,20,200,32.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,73.01,49.32,65.35,73.03,0,7,13,1514,426,692,0,120,2206,61.77,33.77,69.45,57.97,1,4,9,762,197,908,1,52,1670,79.78,55.59,73.58,78.78,1,2,6,1767,571,381,2,35,2148,11.02,1.0,1.0,1,1,119.52,1.0,1.0,1,1,63.91,0.503,1.0,2,1,71.52,46.23,69.93,64.82
31,417.8,0.2,80.0,0.2,3,20,140,50,40,200,8.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,73.16,49.18,65.18,73.3,0,7,13,1537,451,669,1,123,2206,61.44,32.4,69.57,57.48,1,4,9,761,217,909,3,49,1670,82.85,64.66,73.57,82.37,1,2,6,1769,378,379,2,34,2148,11.02,1.0,1.0,1,1,118.46,1.0,1.0,1,1,,0.503,0.0,2,0,72.48,48.75,71.05,64.74
234,413.8,0.1,160.0,0.2,1,20,140,50,20,200,32.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,76.26,52.95,65.4,75.62,0,7,13,1610,442,596,0,73,2206,66.0,39.52,69.17,61.91,1,3,9,820,159,850,1,23,1670,85.75,71.79,73.46,85.64,1,1,6,1795,249,353,4,29,2148,11.02,1.0,1.0,1,1,119.73,1.0,1.0,1,1,57.92,0.503,1.0,2,1,76.0,54.75,74.39,62.89
185,445.7,0.1,160.0,0.2,1,20,140,25,20,400,16.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,75.06,48.96,65.35,74.22,0,7,13,1621,541,585,0,77,2206,64.76,36.65,69.48,60.52,1,3,9,810,197,860,1,27,1670,85.38,70.86,73.49,85.22,1,1,6,1793,267,355,4,29,2148,11.02,1.0,1.0,1,1,119.47,1.0,1.0,1,1,57.76,0.503,1.0,2,1,75.07,52.16,73.32,62.75
